"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2019","0.730","0.725","0.735","0.720","8.22M","1.39%"
"Jun 20, 2019","0.720","0.730","0.735","0.720","7.68M","-0.69%"
"Jun 19, 2019","0.725","0.735","0.745","0.725","18.29M","0.00%"
"Jun 18, 2019","0.725","0.715","0.730","0.705","11.48M","1.40%"
"Jun 17, 2019","0.715","0.730","0.730","0.700","7.03M","-1.38%"
"Jun 14, 2019","0.725","0.735","0.750","0.715","27.70M","-0.68%"
"Jun 13, 2019","0.730","0.695","0.730","0.690","16.86M","4.29%"
"Jun 12, 2019","0.700","0.695","0.705","0.685","10.54M","0.72%"
"Jun 11, 2019","0.695","0.685","0.710","0.675","27.27M","1.46%"
"Jun 10, 2019","0.685","0.675","0.695","0.670","18.81M","3.01%"
"Jun 07, 2019","0.665","0.670","0.685","0.665","11.21M","0.76%"
"Jun 04, 2019","0.660","0.655","0.665","0.650","2.24M","0.76%"
"Jun 03, 2019","0.655","0.660","0.660","0.640","4.40M","-1.50%"
"May 31, 2019","0.665","0.650","0.675","0.650","19.25M","1.53%"
"May 30, 2019","0.655","0.640","0.665","0.640","21.07M","2.34%"
"May 29, 2019","0.640","0.625","0.660","0.625","13.91M","0.00%"
"May 28, 2019","0.640","0.605","0.645","0.605","14.93M","6.67%"
"May 27, 2019","0.600","0.595","0.600","0.580","4.21M","1.69%"
"May 24, 2019","0.590","0.580","0.600","0.575","7.85M","0.85%"
"May 23, 2019","0.585","0.605","0.610","0.585","12.42M","-3.31%"
"May 21, 2019","0.605","0.620","0.640","0.605","9.80M","-3.20%"
"May 17, 2019","0.625","0.640","0.645","0.620","6.51M","-0.79%"
"May 16, 2019","0.630","0.660","0.675","0.625","19.48M","-3.82%"
"May 15, 2019","0.655","0.645","0.655","0.640","11.67M","2.34%"
"May 14, 2019","0.640","0.600","0.645","0.580","30.36M","3.23%"
"May 13, 2019","0.620","0.660","0.665","0.615","16.77M","-6.06%"
"May 10, 2019","0.660","0.680","0.690","0.660","13.20M","-1.49%"
"May 09, 2019","0.670","0.695","0.700","0.660","18.57M","-2.90%"
"May 08, 2019","0.690","0.655","0.695","0.655","35.41M","2.22%"
"May 07, 2019","0.675","0.650","0.690","0.640","33.90M","6.30%"
"May 06, 2019","0.635","0.650","0.660","0.630","28.70M","-3.79%"
"May 03, 2019","0.660","0.620","0.665","0.615","54.98M","5.60%"
"May 02, 2019","0.625","0.640","0.645","0.600","23.11M","-3.10%"
"Apr 30, 2019","0.645","0.640","0.665","0.635","16.52M","0.78%"
"Apr 29, 2019","0.640","0.670","0.670","0.630","17.03M","-3.76%"
"Apr 26, 2019","0.665","0.685","0.690","0.650","28.12M","-1.48%"
"Apr 25, 2019","0.675","0.685","0.700","0.670","20.50M","-1.46%"
"Apr 24, 2019","0.685","0.695","0.715","0.680","26.05M","-1.44%"
"Apr 23, 2019","0.695","0.690","0.715","0.655","40.12M","-4.79%"
"Apr 22, 2019","0.730","0.610","0.800","0.610","149.48M","24.79%"
"Apr 19, 2019","0.585","0.570","0.595","0.565","24.54M","4.46%"
"Apr 18, 2019","0.560","0.530","0.565","0.520","20.31M","4.67%"
"Apr 17, 2019","0.535","0.580","0.585","0.530","20.03M","-7.76%"
"Apr 16, 2019","0.580","0.590","0.595","0.575","10.17M","-2.52%"
"Apr 15, 2019","0.595","0.620","0.625","0.580","18.14M","-3.25%"
"Apr 12, 2019","0.615","0.600","0.635","0.600","66.03M","6.03%"
"Apr 11, 2019","0.580","0.610","0.610","0.570","11.76M","-4.13%"
"Apr 10, 2019","0.605","0.595","0.615","0.590","15.66M","1.68%"
"Apr 09, 2019","0.595","0.580","0.610","0.575","26.59M","4.39%"
"Apr 08, 2019","0.570","0.560","0.585","0.550","25.98M","5.56%"
"Apr 05, 2019","0.540","0.545","0.555","0.540","6.02M","-0.92%"
"Apr 04, 2019","0.545","0.550","0.570","0.540","20.30M","-1.80%"
"Apr 03, 2019","0.555","0.530","0.565","0.525","28.53M","5.71%"
"Apr 02, 2019","0.525","0.535","0.540","0.525","22.41M","0.00%"
"Apr 01, 2019","0.525","0.510","0.530","0.505","24.93M","3.96%"
"Mar 29, 2019","0.505","0.495","0.515","0.490","16.40M","3.06%"
"Mar 28, 2019","0.490","0.485","0.495","0.475","8.23M","2.08%"
"Mar 27, 2019","0.480","0.480","0.495","0.475","14.63M","1.05%"
"Mar 26, 2019","0.475","0.460","0.475","0.455","6.70M","4.40%"
"Mar 25, 2019","0.455","0.460","0.470","0.450","6.10M","-2.15%"
"Mar 22, 2019","0.465","0.470","0.480","0.465","8.66M","-1.06%"
"Mar 21, 2019","0.470","0.480","0.485","0.465","15.45M","-1.05%"
"Mar 20, 2019","0.475","0.470","0.480","0.465","18.81M","3.26%"
"Mar 19, 2019","0.460","0.475","0.475","0.455","6.03M","-3.16%"
"Mar 18, 2019","0.475","0.445","0.475","0.440","18.91M","4.40%"
"Mar 15, 2019","0.455","0.475","0.485","0.450","33.25M","-6.19%"
"Mar 14, 2019","0.485","0.475","0.495","0.470","12.63M","2.11%"
"Mar 13, 2019","0.475","0.485","0.485","0.470","9.66M","-3.06%"
