"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 21, 2019","3.830","3.740","3.900","3.690","11.26M","3.23%"
"Jun 20, 2019","3.710","3.550","3.740","3.550","9.20M","4.51%"
"Jun 19, 2019","3.550","3.490","3.600","3.490","3.74M","1.43%"
"Jun 18, 2019","3.500","3.390","3.500","3.360","1.77M","3.24%"
"Jun 17, 2019","3.390","3.520","3.520","3.390","1.88M","-3.69%"
"Jun 14, 2019","3.520","3.510","3.530","3.460","1.75M","0.57%"
"Jun 13, 2019","3.500","3.460","3.520","3.460","4.47M","1.16%"
"Jun 12, 2019","3.460","3.420","3.470","3.420","3.05M","1.17%"
"Jun 11, 2019","3.420","3.390","3.460","3.390","2.05M","0.88%"
"Jun 10, 2019","3.390","3.420","3.460","3.390","3.76M","-0.29%"
"Jun 07, 2019","3.400","3.360","3.420","3.360","1.89M","0.89%"
"Jun 04, 2019","3.370","3.440","3.460","3.370","1.15M","-2.03%"
"Jun 03, 2019","3.440","3.480","3.480","3.420","2.07M","-1.43%"
"May 31, 2019","3.490","3.460","3.490","3.400","4.48M","1.16%"
"May 30, 2019","3.450","3.330","3.480","3.330","5.68M","2.99%"
"May 29, 2019","3.350","3.270","3.360","3.260","2.30M","2.76%"
"May 28, 2019","3.260","3.240","3.340","3.220","27.97M","0.62%"
"May 27, 2019","3.240","3.230","3.270","3.190","2.28M","0.62%"
"May 24, 2019","3.220","3.250","3.280","3.180","5.86M","0.62%"
"May 23, 2019","3.200","3.210","3.250","3.150","4.89M","-0.93%"
"May 21, 2019","3.230","3.260","3.290","3.210","3.37M","-1.82%"
"May 17, 2019","3.290","3.220","3.330","3.210","4.68M","2.81%"
"May 16, 2019","3.200","3.320","3.330","3.200","3.28M","-3.03%"
"May 15, 2019","3.300","3.150","3.340","3.140","4.69M","5.77%"
"May 14, 2019","3.120","3.110","3.150","3.010","19.48M","-2.50%"
"May 13, 2019","3.200","3.260","3.260","3.200","5.04M","-1.84%"
"May 10, 2019","3.260","3.280","3.310","3.220","9.64M","-0.61%"
"May 09, 2019","3.280","3.300","3.330","3.260","11.21M","-1.20%"
"May 08, 2019","3.320","3.300","3.320","3.270","2.21M","0.00%"
"May 07, 2019","3.320","3.360","3.400","3.310","1.80M","-0.30%"
"May 06, 2019","3.330","3.400","3.400","3.210","5.06M","-1.19%"
"May 03, 2019","3.370","3.400","3.450","3.350","7.13M","-1.17%"
"May 02, 2019","3.410","3.500","3.500","3.370","5.80M","-2.57%"
"Apr 30, 2019","3.500","3.500","3.530","3.470","7.78M","-0.28%"
"Apr 29, 2019","3.510","3.520","3.530","3.470","3.11M","-1.13%"
"Apr 26, 2019","3.550","3.480","3.580","3.440","5.11M","2.60%"
"Apr 25, 2019","3.460","3.420","3.470","3.420","2.90M","1.17%"
"Apr 24, 2019","3.420","3.360","3.430","3.360","6.56M","1.79%"
"Apr 23, 2019","3.360","3.350","3.410","3.340","10.89M","0.30%"
"Apr 22, 2019","3.350","3.130","3.370","3.130","14.51M","8.77%"
"Apr 19, 2019","3.080","3.070","3.090","3.050","2.34M","0.00%"
"Apr 18, 2019","3.080","3.080","3.090","3.020","6.90M","0.00%"
"Apr 17, 2019","3.080","3.150","3.160","3.040","3.44M","-1.60%"
"Apr 16, 2019","3.130","3.140","3.150","3.120","2.92M","0.00%"
"Apr 15, 2019","3.130","3.190","3.190","3.100","3.72M","-1.88%"
"Apr 12, 2019","3.190","3.260","3.300","3.160","7.65M","-1.85%"
"Apr 11, 2019","3.250","3.300","3.350","3.240","2.99M","-1.52%"
"Apr 10, 2019","3.300","3.280","3.300","3.230","4.66M","0.61%"
"Apr 09, 2019","3.280","3.250","3.300","3.220","5.35M","0.92%"
"Apr 08, 2019","3.250","3.130","3.280","3.130","12.84M","4.84%"
"Apr 05, 2019","3.100","3.080","3.100","3.030","1.42M","0.98%"
"Apr 04, 2019","3.070","3.000","3.070","2.980","5.16M","1.99%"
"Apr 03, 2019","3.010","2.910","3.020","2.890","6.32M","3.79%"
"Apr 02, 2019","2.900","2.900","2.930","2.890","3.19M","0.00%"
"Apr 01, 2019","2.900","2.880","2.910","2.860","4.30M","0.69%"
"Mar 29, 2019","2.880","2.890","2.920","2.840","5.72M","1.41%"
"Mar 28, 2019","2.840","2.800","2.890","2.790","4.84M","1.43%"
"Mar 27, 2019","2.800","2.850","2.860","2.800","3.36M","-1.41%"
"Mar 26, 2019","2.840","2.840","2.870","2.840","2.22M","0.00%"
"Mar 25, 2019","2.840","2.860","2.880","2.810","3.65M","-1.73%"
"Mar 22, 2019","2.890","2.930","2.930","2.870","4.34M","-1.37%"
"Mar 21, 2019","2.930","2.870","2.930","2.850","2.62M","2.09%"
"Mar 20, 2019","2.870","2.890","2.890","2.850","3.14M","-0.69%"
"Mar 19, 2019","2.890","2.930","2.930","2.870","1.34M","-1.37%"
"Mar 18, 2019","2.930","2.900","2.950","2.900","5.76M","0.34%"
"Mar 15, 2019","2.920","2.890","2.950","2.890","9.29M","1.04%"
"Mar 14, 2019","2.890","2.900","2.930","2.830","4.94M","-0.34%"
"Mar 13, 2019","2.900","2.960","2.980","2.900","4.88M","-2.03%"
"Mar 12, 2019","2.960","2.960","2.980","2.950","5.41M","0.00%"
"Mar 11, 2019","2.960","2.990","2.990","2.960","3.69M","-0.67%"
"Mar 08, 2019","2.980","2.980","2.990","2.950","3.94M","-0.33%"
"Mar 07, 2019","2.990","2.960","3.000","2.960","4.43M","0.00%"
"Mar 06, 2019","2.990","2.970","3.010","2.960","3.88M","0.67%"
"Mar 05, 2019","2.970","2.880","3.000","2.880","9.61M","1.37%"
"Mar 04, 2019","2.930","2.870","2.930","2.850","5.08M","0.34%"
"Mar 01, 2019","2.920","2.940","2.950","2.890","2.18M","-0.68%"
"Feb 28, 2019","2.940","2.940","2.970","2.900","8.59M","0.00%"
"Feb 27, 2019","2.940","2.940","2.950","2.860","7.49M","0.34%"
"Feb 26, 2019","2.930","2.850","2.940","2.830","12.12M","2.45%"
"Feb 25, 2019","2.860","2.800","2.880","2.640","41.68M","-5.92%"
"Feb 22, 2019","3.040","3.100","3.100","3.020","3.61M","-2.25%"
"Feb 21, 2019","3.110","3.100","3.150","3.030","4.33M","0.32%"
"Feb 20, 2019","3.100","2.930","3.100","2.920","14.46M","6.90%"
"Feb 19, 2019","2.900","2.830","2.980","2.830","11.04M","2.47%"
"Feb 18, 2019","2.830","2.780","2.850","2.770","5.43M","1.43%"
"Feb 15, 2019","2.790","2.760","2.800","2.740","2.84M","1.09%"
"Feb 14, 2019","2.760","2.740","2.760","2.730","1.21M","0.36%"
"Feb 13, 2019","2.750","2.740","2.830","2.740","3.09M","0.00%"
"Feb 12, 2019","2.750","2.730","2.760","2.720","2.21M","0.73%"
"Feb 11, 2019","2.730","2.750","2.750","2.720","1.84M","-0.73%"
"Feb 08, 2019","2.750","2.700","2.760","2.700","1.13M","0.73%"
"Feb 07, 2019","2.730","2.710","2.740","2.700","2.30M","0.74%"
"Feb 04, 2019","2.710","2.760","2.760","2.710","1.25M","-1.81%"
"Jan 31, 2019","2.760","2.750","2.800","2.740","7.06M","1.10%"
"Jan 30, 2019","2.730","2.720","2.770","2.680","6.85M","1.11%"
"Jan 29, 2019","2.700","2.700","2.740","2.670","4.07M","0.75%"
"Jan 28, 2019","2.680","2.720","2.720","2.650","3.82M","-2.19%"
"Jan 25, 2019","2.740","2.700","2.780","2.700","5.36M","2.24%"
"Jan 24, 2019","2.680","2.640","2.720","2.640","7.54M","1.13%"
"Jan 23, 2019","2.650","2.750","2.750","2.590","15.49M","-3.64%"
"Jan 22, 2019","2.750","2.800","2.820","2.720","7.98M","-1.79%"
"Jan 18, 2019","2.800","2.820","2.860","2.760","6.20M","-1.06%"
"Jan 17, 2019","2.830","2.870","2.880","2.810","3.78M","-1.39%"
"Jan 16, 2019","2.870","2.780","2.890","2.770","9.34M","3.61%"
"Jan 15, 2019","2.770","2.750","2.810","2.720","6.72M","0.36%"
"Jan 14, 2019","2.760","2.790","2.790","2.730","4.75M","-1.78%"
"Jan 11, 2019","2.810","2.800","2.810","2.720","7.72M","0.72%"
"Jan 10, 2019","2.790","2.730","2.790","2.690","13.13M","1.45%"
"Jan 09, 2019","2.750","2.470","2.840","2.470","24.48M","11.79%"
"Jan 08, 2019","2.460","2.450","2.500","2.400","9.76M","0.41%"
"Jan 07, 2019","2.450","2.300","2.480","2.300","8.90M","6.99%"
"Jan 04, 2019","2.290","2.280","2.310","2.280","6.07M","0.00%"
"Jan 03, 2019","2.290","2.280","2.320","2.270","4.21M","-0.87%"
"Jan 02, 2019","2.310","2.350","2.350","2.280","3.53M","-1.28%"
"Dec 31, 2018","2.340","2.380","2.390","2.340","1.49M","-0.85%"
"Dec 28, 2018","2.360","2.350","2.380","2.340","4.68M","0.00%"
"Dec 27, 2018","2.360","2.290","2.370","2.290","7.84M","3.96%"
"Dec 26, 2018","2.270","2.260","2.290","2.240","1.17M","-0.87%"
"Dec 24, 2018","2.290","2.220","2.310","2.220","2.09M","3.15%"
"Dec 21, 2018","2.220","2.220","2.240","2.210","5.30M","-1.33%"
"Dec 20, 2018","2.250","2.210","2.250","2.200","4.43M","0.90%"
"Dec 19, 2018","2.230","2.210","2.240","2.200","3.07M","1.36%"
"Dec 18, 2018","2.200","2.210","2.230","2.180","3.86M","-0.90%"
