Date,Open,Close,High,Low,Volume
2000-01-03,4.28,4.53,4.60,4.28,1728000
2000-01-04,4.55,4.63,4.75,4.55,1426000
2000-01-05,4.53,4.57,4.60,4.30,1746000
2000-01-06,4.63,4.65,4.68,4.60,1268000
2000-01-07,4.65,4.65,4.65,4.65,0
2000-01-10,4.65,4.65,4.65,4.65,0
2000-01-11,4.80,4.93,5.00,4.80,3176000
2000-01-12,4.93,4.93,4.95,4.88,1058000
2000-01-13,4.90,4.78,4.90,4.78,1700000
2000-01-14,4.78,4.90,4.95,4.72,1278000
2000-01-17,4.95,4.95,5.05,4.93,3438000
2000-01-18,4.95,4.97,5.00,4.90,1048000
2000-01-19,4.97,4.80,5.00,4.72,3426000
2000-01-20,4.85,4.90,5.00,4.82,2278000
2000-01-21,4.97,4.95,5.00,4.90,1144000
2000-01-24,5.00,4.85,5.00,4.85,2622000
2000-01-25,4.85,4.88,4.90,4.80,1362000
2000-01-26,4.93,5.15,5.20,4.93,3962000
2000-01-27,5.25,5.20,5.25,5.05,880000
2000-01-28,5.20,5.10,5.25,5.05,2612000
2000-01-31,5.10,5.15,5.15,5.05,1384000
2000-02-01,5.15,5.15,5.15,5.15,0
2000-02-02,5.15,5.45,5.50,5.15,3490000
2000-02-03,5.45,5.55,5.60,5.40,2288000
2000-02-04,5.55,5.55,5.55,5.55,0
2000-02-07,5.55,5.55,5.55,5.55,0
2000-02-08,5.70,5.90,6.00,5.70,2544000
2000-02-09,6.00,5.90,6.00,5.70,1302000
2000-02-10,5.80,5.90,5.95,5.80,792000
2000-02-11,5.95,5.75,5.95,5.75,1306000
2000-02-14,5.75,5.85,5.90,5.75,2210000
2000-02-15,5.90,5.80,6.00,5.75,2184000
2000-02-16,5.90,5.90,5.90,5.80,1622000
2000-02-17,5.90,5.80,5.90,5.80,1388000
2000-02-18,5.90,5.85,5.95,5.85,1638000
2000-02-21,5.85,5.90,5.90,5.80,1570000
2000-02-22,5.90,5.90,6.00,5.85,5294000
2000-02-23,3.15,3.00,3.25,3.00,5842000
2000-02-24,3.05,2.95,3.10,2.95,2454000
2000-02-25,3.00,2.83,3.00,2.80,2626000
2000-02-28,2.83,2.72,2.90,2.72,2434000
2000-02-29,2.78,2.72,2.80,2.58,3452000
2000-03-01,2.78,2.75,2.80,2.72,1916000
2000-03-02,2.75,2.60,2.75,2.60,1564000
2000-03-03,2.65,2.70,2.75,2.63,1838000
2000-03-06,2.75,2.72,2.75,2.70,2004000
2000-03-07,2.70,2.67,2.70,2.63,1364000
2000-03-08,2.67,2.63,2.67,2.58,3212000
2000-03-09,2.63,2.58,2.63,2.58,1594000
2000-03-10,2.63,2.65,2.65,2.58,2256000
2000-03-13,2.65,2.60,2.78,2.60,1390000
2000-03-14,2.63,2.49,2.63,2.49,2162000
2000-03-15,2.49,2.55,2.55,2.49,1948000
2000-03-16,2.55,2.55,2.55,2.55,0
2000-03-17,2.60,2.60,2.65,2.60,1730000
2000-03-20,2.65,2.63,2.67,2.60,1484000
2000-03-21,2.63,2.65,2.70,2.60,2290000
2000-03-22,2.70,2.72,2.75,2.70,2982000
2000-03-23,2.75,2.80,2.83,2.72,5416000
2000-03-24,2.85,2.80,2.92,2.78,2684000
2000-03-27,2.83,3.03,3.03,2.83,7726000
2000-03-28,3.03,3.00,3.05,2.97,3084000
2000-03-29,3.00,2.92,3.00,2.88,2374000
2000-03-30,2.95,2.85,2.95,2.80,1784000
2000-03-31,2.85,2.83,2.90,2.80,2640000
2000-04-03,2.85,2.75,2.90,2.70,3230000
2000-04-04,2.78,2.80,2.83,2.75,1514000
2000-04-05,2.80,2.75,2.80,2.70,3256000
2000-04-06,2.75,2.75,2.75,2.75,0
2000-04-07,2.80,2.80,2.83,2.78,1868000
2000-04-10,2.85,2.80,2.85,2.80,1944000
2000-04-11,2.80,2.80,2.83,2.78,1262000
2000-04-12,2.83,2.83,2.90,2.80,1154000
2000-04-13,2.83,2.78,2.83,2.75,2680000
2000-04-14,2.78,2.75,2.78,2.72,1290000
2000-04-17,2.60,2.50,2.60,2.47,8906000
2000-04-18,2.53,2.58,2.70,2.53,3310000
2000-04-19,2.63,2.63,2.67,2.60,1896000
2000-04-20,2.63,2.63,2.63,2.55,348000
2000-04-21,2.60,2.60,2.65,2.58,530000
2000-04-24,2.60,2.55,2.60,2.50,1466000
2000-04-25,2.53,2.58,2.58,2.46,1810000
2000-04-26,2.63,2.58,2.65,2.55,1116000
2000-04-27,2.53,2.63,2.65,2.53,2580000
2000-04-28,2.58,2.53,2.60,2.50,5616000
2000-05-01,2.53,2.53,2.53,2.53,0
2000-05-02,2.53,2.53,2.55,2.50,862000
2000-05-03,2.53,2.50,2.53,2.49,3458000
2000-05-04,2.49,2.58,2.58,2.49,5496000
2000-05-05,2.58,2.60,2.72,2.55,11332000
2000-05-08,2.65,2.65,2.70,2.63,4882000
2000-05-09,2.65,2.65,2.65,2.65,0
2000-05-10,2.63,2.65,2.65,2.60,1358000
2000-05-11,2.60,2.65,2.65,2.58,1850000
2000-05-12,2.65,2.58,2.65,2.58,2494000
2000-05-15,2.58,2.55,2.58,2.50,2174000
2000-05-16,2.55,2.58,2.60,2.53,1214000
2000-05-17,2.60,2.63,2.65,2.58,2360000
2000-05-18,2.63,2.63,2.63,2.63,0
2000-05-19,2.63,2.65,2.67,2.60,5010000
2000-05-22,2.65,2.65,2.70,2.60,2020000
2000-05-23,2.63,2.55,2.65,2.55,2684000
2000-05-24,2.53,2.50,2.55,2.49,2992000
2000-05-25,2.50,2.55,2.55,2.49,2114000
2000-05-26,2.49,2.53,2.55,2.48,1720000
2000-05-29,2.53,2.55,2.55,2.53,836000
2000-05-30,2.55,2.55,2.55,2.55,0
2000-05-31,2.58,2.60,2.63,2.55,3496000
2000-06-01,2.58,2.60,2.60,2.55,1698000
2000-06-02,2.58,2.60,2.60,2.55,2200000
2000-06-05,2.60,2.55,2.63,2.55,1394000
2000-06-06,2.55,2.27,2.55,2.24,6654000
2000-06-07,2.27,2.11,2.27,2.07,15284000
2000-06-08,2.11,2.15,2.16,2.04,13390000
2000-06-09,2.15,2.23,2.30,2.14,11128000
2000-06-12,2.23,2.22,2.24,2.14,3182000
2000-06-13,2.22,2.23,2.24,2.19,2700000
2000-06-14,2.24,2.24,2.25,2.21,1886000
2000-06-15,2.24,2.24,2.24,2.24,0
2000-06-16,2.24,2.19,2.24,2.18,2906000
2000-06-19,2.16,2.14,2.21,2.12,2652000
2000-06-20,2.14,2.10,2.18,2.03,6688000
2000-06-21,2.10,2.16,2.20,2.07,1770000
2000-06-22,2.16,2.14,2.16,2.10,2034000
2000-06-23,2.10,2.10,2.10,2.06,2920000
2000-06-26,2.10,2.05,2.10,2.05,812000
2000-06-27,2.06,2.16,2.17,2.06,1890000
2000-06-28,2.16,2.21,2.24,2.14,2470000
